"state","Management","Year","Diet","Location","biomass.kgha","prod_yr_kgha","prod_yr_F0.2","net.turn","net.turnF"
"Shifted","Fished",1994,"HerDet","Praslin SW Patch",127.6032899,57.3208429,55.61491471,44.92113247,43.58423262
"Shifted","Fished",2005,"HerDet","Praslin SW Patch",98.34237379,36.32601523,34.89203259,36.93831441,35.48016103
"Shifted","Fished",2008,"HerDet","Praslin SW Patch",227.4481834,66.01712565,62.55028142,29.02512769,27.50089295
"Shifted","Fished",2011,"HerDet","Praslin SW Patch",392.6022759,110.1467434,104.4321912,28.05555397,26.59999639
"Shifted","Fished",2014,"HerDet","Praslin SW Patch",397.3011582,82.00828764,78.04130333,20.6413412,19.64285825
"Shifted","Fished",2017,"HerDet","Praslin SW Patch",284.0200643,68.59953871,65.06785842,24.15306076,22.90959921
"Shifted","Fished",1994,"HerMac","Praslin SW Patch",12.52331626,2.698555596,2.468857193,21.5482508,19.71408485
"Shifted","Fished",2005,"HerMac","Praslin SW Patch",0,0,0,NA,NA
"Shifted","Fished",2008,"HerMac","Praslin SW Patch",0,0,0,NA,NA
"Shifted","Fished",2011,"HerMac","Praslin SW Patch",4.897739006,1.990647224,1.889456528,40.6442079,38.57813831
"Shifted","Fished",2014,"HerMac","Praslin SW Patch",16.84621932,10.79698817,10.33674005,64.09146149,61.35940567
"Shifted","Fished",2017,"HerMac","Praslin SW Patch",12.16803898,5.526024455,5.126470773,45.41425667,42.13062417
"Shifted","Fished",1994,"InvMob","Praslin SW Patch",63.2015171,28.05725662,26.78370385,44.39332774,42.37826097
"Shifted","Fished",2005,"InvMob","Praslin SW Patch",30.71355203,17.86523077,17.81401613,58.16725707,58.00050777
"Shifted","Fished",2008,"InvMob","Praslin SW Patch",122.1646696,58.21586954,56.49694146,47.65360534,46.24654707
"Shifted","Fished",2011,"InvMob","Praslin SW Patch",103.9055451,58.50338011,57.28773682,56.30438686,55.13443651
"Shifted","Fished",2014,"InvMob","Praslin SW Patch",75.29086554,31.33112581,30.22690118,41.61344883,40.14683716
"Shifted","Fished",2017,"InvMob","Praslin SW Patch",304.6531717,109.2429225,101.7679212,35.85812744,33.40451723
"Shifted","Protected",1994,"FisCep","Ste Anne Carbonate",43.29290418,22.98457888,22.98457888,53.09086864,53.09086864
"Shifted","Protected",2005,"FisCep","Ste Anne Carbonate",38.02538341,11.53413699,11.53413699,30.3327303,30.3327303
"Shifted","Protected",2008,"FisCep","Ste Anne Carbonate",10.73117095,4.549139142,4.549139142,42.39182439,42.39182439
"Shifted","Protected",2011,"FisCep","Ste Anne Carbonate",0.47119286,0.625183884,0.625183884,132.681103,132.681103
"Shifted","Protected",2014,"FisCep","Ste Anne Carbonate",3.077570017,2.363856202,2.363856202,76.80917703,76.80917703
"Shifted","Protected",1994,"HerDet","Ste Anne Carbonate",270.6183698,79.82993463,79.82993463,29.49908194,29.49908194
"Shifted","Protected",2005,"HerDet","Ste Anne Carbonate",211.8360174,44.46455317,44.46455317,20.99008173,20.99008173
"Shifted","Protected",2008,"HerDet","Ste Anne Carbonate",75.6071202,37.37635932,37.37635932,49.43497282,49.43497282
"Shifted","Protected",2011,"HerDet","Ste Anne Carbonate",58.80546481,40.61072839,40.61072839,69.05944629,69.05944629
"Shifted","Protected",2014,"HerDet","Ste Anne Carbonate",268.8653001,117.7804539,117.7804539,43.80649113,43.80649113
"Shifted","Protected",1994,"HerMac","Ste Anne Carbonate",13.11180235,0.022292277,0.022292277,0.170016878,0.170016878
"Shifted","Protected",2005,"HerMac","Ste Anne Carbonate",9.131545963,0.011560069,0.011560069,0.126594878,0.126594878
"Shifted","Protected",2008,"HerMac","Ste Anne Carbonate",2.705946791,3.388065332,3.388065332,125.2081284,125.2081284
"Shifted","Protected",2011,"HerMac","Ste Anne Carbonate",9.786278551,12.10458891,12.10458891,123.6893969,123.6893969
"Shifted","Protected",2014,"HerMac","Ste Anne Carbonate",8.212184914,1.334359124,1.334359124,16.2485275,16.2485275
"Shifted","Protected",1994,"InvMob","Ste Anne Carbonate",234.9257824,64.39540648,64.39540648,27.41095754,27.41095754
"Shifted","Protected",2005,"InvMob","Ste Anne Carbonate",233.4593336,80.07082412,80.07082412,34.29754677,34.29754677
"Shifted","Protected",2008,"InvMob","Ste Anne Carbonate",103.1484509,51.7871204,51.7871204,50.20639664,50.20639664
"Shifted","Protected",2011,"InvMob","Ste Anne Carbonate",145.3744498,62.76687195,62.76687195,43.17599967,43.17599967
"Shifted","Protected",2014,"InvMob","Ste Anne Carbonate",138.4914423,62.78270745,62.78270745,45.33327577,45.33327577
"Recovering","Protected",1994,"FisCep","Ste Anne Granite",21.99857839,10.13993898,10.13993898,46.09361021,46.09361021
"Recovering","Protected",2005,"FisCep","Ste Anne Granite",100.4417233,23.32641533,23.32641533,23.22383025,23.22383025
"Recovering","Protected",2008,"FisCep","Ste Anne Granite",47.47935497,16.26162278,16.26162278,34.24988142,34.24988142
"Recovering","Protected",2011,"FisCep","Ste Anne Granite",90.27203166,59.30266929,59.30266929,65.69329193,65.69329193
"Recovering","Protected",2014,"FisCep","Ste Anne Granite",13.64056318,3.895707437,3.895707437,28.55972576,28.55972576
"Recovering","Protected",2017,"FisCep","Ste Anne Granite",23.41859752,15.59235165,15.59235165,66.58106506,66.58106506
"Recovering","Protected",1994,"HerDet","Ste Anne Granite",160.7123375,40.23495035,40.23495035,25.0353837,25.0353837
"Recovering","Protected",2005,"HerDet","Ste Anne Granite",670.550774,180.7373825,180.7373825,26.95357153,26.95357153
"Recovering","Protected",2008,"HerDet","Ste Anne Granite",456.9109805,114.288305,114.288305,25.0132542,25.0132542
"Recovering","Protected",2011,"HerDet","Ste Anne Granite",643.6065697,137.8954928,137.8954928,21.42543276,21.42543276
