"species","Location","Year","Habitat","count","Family","Length","a","b","lat","lon","Management","MaxSizeTL","sstmean","Diet","Position","Method","Length2","Kmax","Kmax_lowq","Kmax_uppq","L.1day","EstAge","Md","SurvivalDay","prod_day","prod_yr"
"Hemigymnus fasciatus","Cousin Carbonate",1994,"Carbonate",6,"Labridae",24,0.0289,3,-4.332921,55.658746,"Protected",80,28,"InvMob","BtPlDw","Otolth",24,0.128816202282906,0.114518653601408,0.142946396023035,24.0197600946378,2.76886709604592,0.00201766506287862,0.997984369054988,0.987616013073534,334.948113510847
"Hemigymnus fasciatus","Cousin Carbonate",1994,"Carbonate",4,"Labridae",10,0.0289,3,-4.332921,55.658746,"Protected",80,28,"InvMob","BtPlDw","Otolth",10,0.128816202282906,0.114518653601408,0.142946396023035,10.0247001182973,1.03660401609466,0.00826017356900016,0.991773847925766,0.214679414240884,59.0997669719205
"Hemigymnus fasciatus","Cousin Carbonate",1994,"Carbonate",2,"Labridae",14,0.0289,3,-4.332921,55.658746,"Protected",80,28,"InvMob","BtPlDw","Otolth",14,0.128816202282906,0.114518653601408,0.142946396023035,14.023288682966,1.49338273631891,0.00480532798668329,0.995206199130595,0.396407932322674,119.843477521719
"Hemigymnus fasciatus","Cousin Carbonate",1994,"Carbonate",2,"Labridae",16,0.0289,3,-4.332921,55.658746,"Protected",80,28,"InvMob","BtPlDw","Otolth",16,0.128816202282906,0.114518653601408,0.142946396023035,16.0225829653004,1.73226307995125,0.00387575218963771,0.996131748844035,0.501941222853347,154.746702265688
"Hemigymnus melapterus","Cousin Carbonate",1994,"Carbonate",3,"Labridae",35,0.0286,3,-4.332921,55.658746,"Protected",60,28,"InvMob","BtPlDw","Otolth",35,0.118787851184607,0.107841266319156,0.131262954324484,35.0081348303942,7.3700191444102,0.000669775683074403,0.99933044856659,0.855210088906006,286.739690024715
"Hemigymnus melapterus","Cousin Carbonate",1994,"Carbonate",7,"Labridae",29,0.0286,3,-4.332921,55.658746,"Protected",60,28,"InvMob","BtPlDw","Otolth",29,0.118787851184607,0.107841266319156,0.131262954324484,29.0100871896888,5.55913210948401,0.000906605085276916,0.999093805756947,0.728122623308309,246.147453124351
"Hipposcarus harid","Cousin Carbonate",1994,"Carbonate",4,"Scaridae",30,0.0159,3,-4.332921,55.658746,"Protected",75,28,"HerDet","BtPlDw","Otolth",30,0.0938079357147217,0.083179447799921,0.106314636766911,30.0115638758692,5.44544147437011,0.000934827929144325,0.999065608886358,0.496628573588282,167.268972988568
"Hipposcarus harid","Cousin Carbonate",1994,"Carbonate",4,"Scaridae",34,0.0159,3,-4.332921,55.658746,"Protected",75,28,"HerDet","BtPlDw","Otolth",34,0.0938079357147217,0.083179447799921,0.106314636766911,34.010535975792,6.43779273289379,0.000764215501329913,0.999236076436964,0.581146397741463,186.389073602563
"Labrichthys unilineatus","Cousin Carbonate",1994,"Carbonate",3,"Labridae",10,0.0257,3,-4.332921,55.658746,"Protected",17.5,28,"InvSes","BnthDw","Otolth",10,0.18763617426157,0.159545198082924,0.223794005811214,10.0038545469856,4.51564237931033,0.00134852952731602,0.998652379330041,0.0297300138885035,9.61766849972946
"Labrichthys unilineatus","Cousin Carbonate",1994,"Carbonate",1,"Labridae",10,0.0257,3,-4.332921,55.658746,"Protected",17.5,28,"InvSes","BnthDw","Otolth",10,0.18763617426157,0.159545198082924,0.223794005811214,10.0038545469856,4.51564237931033,0.00134852952731602,0.998652379330041,0.0297300138885035,9.00214786167222
